x,y
-0.008898754321143763,-0.004720013458125767
-0.00891670344140422,-0.0047520835510625825
-0.008932783978155306,-0.004781140434110775
-0.008950383084243396,-0.004813303966573698
-0.008965324024992163,-0.004840915083978563
-0.008985040338895814,-0.004877794053500821
-0.00899967529946007,-0.004905503598340653
-0.009014983039095429,-0.004934801614639375
-0.009031735557265249,-0.00496724446486539
-0.009047529249182416,-0.004998204178234428
-0.009063166651794505,-0.00502922636093886
-0.00907941909470298,-0.005061869185830347
-0.009092451199743964,-0.005088348111720692
-0.009109151900303985,-0.005122688466819169
-0.009124173977940513,-0.005153980848446935
-0.009139044161363545,-0.005185345477966732
-0.009155226460338447,-0.005219931902048537
-0.009167605835167097,-0.005246720272100356
-0.00918203044019047,-0.005278307014852352
-0.009197014271571304,-0.005311556940565636
-0.009211130309453225,-0.005343304397681142
-0.009226483798641185,-0.005378318480715483
-0.009238909517864895,-0.005407038120198604
-0.009251891458233803,-0.005437422807532037
-0.009266076319522549,-0.005471086276389985
-0.009279410321664329,-0.005503210648510622
-0.009292569255495596,-0.005535369478618933
-0.009305579407418406,-0.005567605788178741
-0.009318439302591667,-0.005599927879727224
-0.009331149292624177,-0.005632335833020069
-0.00934495705820395,-0.005668084915261778
-0.00935673583584415,-0.005699044616001221
-0.009368988146542065,-0.005731720259631883
-0.009381090166590274,-0.005764485456352177
-0.009393041730333802,-0.005797341048818551
-0.009404842643630116,-0.00583028785875263
-0.009417071222328186,-0.005864981059884641
-0.009427420253773557,-0.00589479952607284
-0.009438775359320604,-0.005928020039451809
-0.009450534975096419,-0.005963003075570714
-0.009463769299585967,-0.006003112090637912
-0.009471388000217762,-0.006026572746977512
-0.009482142050173396,-0.006060170029124668
-0.009494844835192274,-0.0061006151227378305
-0.009503708907376378,-0.006129349088010841
-0.009513484211623683,-0.006161547900504593
-0.00952362353547313,-0.006195538267656464
-0.009534598006635997,-0.006233043289760845
-0.009543924761787503,-0.006265532190616064
-0.009554069712868124,-0.006301547670614881
-0.009563100016493796,-0.006334230343073516
-0.009571988820506432,-0.006367006074082742
-0.009582103741118836,-0.006405074066129678
-0.009590685630012,-0.00643805292512509
-0.009600882882185609,-0.0064781022037718305
-0.00960828480259325,-0.006507794314355625
-0.009616845293166957,-0.006542825481939841
-0.00962524558944536,-0.006577964844846417
-0.009633892819507578,-0.006614978665231623
-0.00964236203255159,-0.0066521139731762855
-0.00964947910945213,-0.006684041840806299
-0.009657232361552408,-0.0067196239279302605
-0.0096648222216429,-0.006755319401168239
-0.009672248011177434,-0.006791129442106783
-0.009679149910697326,-0.006825256225697947
-0.009686604596420609,-0.006863098235954817
-0.009693533965865891,-0.0068992596450361925
-0.009700296411243096,-0.0069355409411649095
-0.00970721650525921,-0.006973766967960815
-0.009713000206953143,-0.00700664002340295
-0.009719882989369882,-0.007046954717856265
-0.00972565453352971,-0.007081861814642273
-0.00973184218751126,-0.007120553746605362
-0.009737840840935532,-0.007159401565941108
-0.009743101710956907,-0.007194678352190036
-0.009748459683281394,-0.007231936773840577
-0.009753641930503976,-0.0072693260087552305
-0.009758403576664045,-0.007304975689640176
-0.009763483082208478,-0.007344533166179642
-0.009767910767440269,-0.007380464788349513
-0.009772177845722409,-0.007416532777275067
-0.009776916815255903,-0.007458468602304497
-0.009780631889816442,-0.007492919992863193
-0.009784393964262762,-0.007529424335140634
-0.0097881759423156,-0.0075680068608220885
-0.009791953072325665,-0.007608707856920482
-0.00979520014337307,-0.007645712111224624
-0.00979843897125722,-0.0076848482213742395
-0.009801492884545222,-0.007724175551696783
-0.009804500928235507,-0.007765685811851123
-0.009807174157247958,-0.007805428783345848
-0.009809538651513268,-0.007843376069585836
-0.009811953868551528,-0.007885544337070732
-0.009813956609268357,-0.007923902382909489
-0.009815966323120366,-0.00796652751120131
-0.0098175982035497,-0.008005302096725578
-0.009819123422262044,-0.00804633524648554
-0.009820449595865225,-0.008087596071111236
-0.009821624213938732,-0.008131165541364015
-0.009822492652486492,-0.008170803631836983
-0.00982320502273543,-0.008212752985522693
-0.009823765553140705,-0.008261282471421973
-0.009824009923832235,-0.008299481504051956
-0.009824161291424181,-0.008339943266425034
-0.009824257336696467,-0.0083835038387058
-0.009824121822786032,-0.008433319267842666
-0.009823846342576855,-0.00847794266116844
-0.009823351521346045,-0.008526337201090464
-0.009822585792644938,-0.008571913360477558
-0.009821488092033764,-0.008624910121013574
-0.009820388844846411,-0.008668396040946262
-0.009818852354357196,-0.00871932988216554
-0.009817060803717088,-0.00877047227623604
-0.00981478980491036,-0.008826758712081214
-0.009812672247755587,-0.008873459103686017
